RMS,MAV,WL,SSC,VAR,SD,SKEW,KURT,IEMG,SSI,EN,MAXAV,WAMP,MINAV,ZC,Label
0.836029503704431,0.8365825528164166,0.10172230687537517,0.0630378185285815,0.07801155511310541,0.2013602832176916,0.6118825585707457,0.11022264202263615,0.0067681677621347636,0.015444485131069524,2.3599916691541267e-05,0.36749116607773846,0.09915563143081253,0.7536231884057969,0.0,0
0.8343880093756155,0.8350606039986737,0.12134644687629867,0.045680044804020256,0.030966378338114935,0.09999663047906901,0.6408411872908313,0.11428236554814769,0.09235814609268767,0.10348563298492089,0.2223441076414967,0.39929328621908144,0.12167212660914502,0.8647342995169076,0.0,0
0.8336826246944646,0.8343604923756693,0.4610056794569885,0.15990569964656287,0.02874359938858017,0.09417646609561964,0.6966898343533945,0.11420152946578169,0.42469931392936744,0.4453890694586128,0.6487755201774137,0.4028268551236751,0.46140358971992795,0.8599033816425123,0.0,0
0.8307730601332359,0.8314519072417408,0.208292930692155,0.07837108627044373,0.027681759264499846,0.09134697103947143,0.5336634765735064,0.14112621873324155,0.19166552064509665,0.20556877971425871,0.3937173610872433,0.36042402826855113,0.2087389839892954,0.8115942028985508,0.0,0
0.829442083088308,0.8300312903162705,0.11534376875836913,0.058958533576526334,0.062342452615210306,0.17115191240353414,0.714541004958465,0.06709342011546066,0.035701892156585535,0.04513008450666631,0.0874985136977986,0.34628975265017736,0.11585844137867392,0.8309178743961354,0.0,0
0.8289917566309128,0.829566783159196,0.23969155469363257,0.1153987330755084,0.06776830317859338,0.1819219554501125,0.700391043989614,0.05098593653503101,0.10891981790466987,0.1204260993077875,0.25571858018589344,0.36749116607773846,0.23813039265445485,0.845410628019323,0.0,0
0.8305140960154862,0.8311268767600151,0.08246756245093964,0.045362178444119855,0.053398025277127475,0.15256705547331043,0.713439765912435,0.07996152726895471,0.009294824009644598,0.017982265297518146,0.00850620232517496,0.35689045936395836,0.08291422507267106,0.8550724637681153,0.0,0
0.8324821625076275,0.8331432437232547,0.07600313986240015,0.03199665483497438,0.03501357292519526,0.11026223137553012,0.5586521010278243,0.10696588595385714,0.03315659967045989,0.042550744071392005,0.0803264221514235,0.3427561837455837,0.07659299589350806,0.85024154589372,0.0,0
0.8347625315378924,0.8354234755957002,0.16327284480768345,0.05877500359491718,0.03560102576826952,0.11171906458915856,0.6117968664158328,0.11001743824379678,0.14091406252008218,0.1534512342939118,0.3137322926833539,0.349823321554771,0.16384441470954642,0.8309178743961354,0.0,0
0.8226209618174654,0.8232731714386059,0.3366578935217251,0.12587318645889306,0.03616608833755349,0.11311281454585245,0.7064925799108169,0.05026779469232728,0.24255610793081203,0.2576794222419384,0.46254091797681474,0.3533568904593647,0.3370091819314354,0.8599033816425123,0.0,0
0.8315177414126893,0.8322313074432692,0.2640254882947777,0.07680067508760247,0.0143085322643638,0.052382811891844044,0.6291847945568927,0.06702639795417162,0.2945052657013524,0.311371862984846,0.5233005615711872,0.3250883392226154,0.2639689936787708,0.9323671497584538,0.0,0
0.8425864228127065,0.8433182611514578,0.024518631389389103,0.012945485919277081,0.009749070980272893,0.037272351335323445,0.5874753924464491,0.11393027048813839,0.007127236669948356,0.015884011666059794,0.0009795253548463556,0.3250883392226154,0.024869653485904114,0.9227053140096615,0.0,0
0.8245051054262262,0.8251469029858249,0.1388927367594773,0.059789148647932736,0.040667687196156904,0.12396477768831879,0.7083065492058548,0.05445335751328795,0.05946534559297942,0.0694959814898248,0.14902029537224948,0.32862190812720904,0.13943616481336224,0.8743961352656999,0.0,0
0.8711314628873783,0.8716145098942558,0.1872835572794016,0.11404212486093347,0.1137575160302537,0.2621048099199066,0.6037903656493402,0.17770444427465848,0.057260485776051556,0.06792141849041727,0.142009185614405,0.4734982332155484,0.18760669958012272,0.7004830917874401,0.0,0
0.8718078221169385,0.8723025343231949,0.12910375398254606,0.06987194526644012,0.10935503881475396,0.25511335375235966,0.5711225287320142,0.1701923443369598,0.04142707318515168,0.0515955226900075,0.10152714415526409,0.4346289752650181,0.12974668942924372,0.6763285024154584,0.0,0
0.8735045887270374,0.8741566099876685,0.16936787181973495,0.07996987837827611,0.0481916455295517,0.14120701665507587,0.6924140348128925,0.14087212783987083,0.12067864184234003,0.13339158054449443,0.27638513062222314,0.41696113074204977,0.16942739814515756,0.8309178743961354,0.0,0
